time,open,high,low,close
2025-10-15 18:19:00+00:00,1.16308,1.16325,1.16306,1.16324
2025-10-15 18:20:00+00:00,1.16323,1.16324,1.16314,1.16314
2025-10-15 18:21:00+00:00,1.16314,1.16326,1.16314,1.1632
2025-10-15 18:22:00+00:00,1.16319,1.1634,1.16319,1.16336
2025-10-15 18:23:00+00:00,1.16336,1.16338,1.1633,1.16336
2025-10-15 18:24:00+00:00,1.16335,1.1634,1.16334,1.16339
2025-10-15 18:25:00+00:00,1.1634,1.16348,1.16339,1.16346
2025-10-15 18:26:00+00:00,1.16346,1.16355,1.16344,1.16352
2025-10-15 18:27:00+00:00,1.16352,1.16372,1.1635,1.16372
2025-10-15 18:28:00+00:00,1.1637,1.16376,1.16353,1.16359
2025-10-15 18:29:00+00:00,1.16358,1.16362,1.16351,1.16354
2025-10-15 18:30:00+00:00,1.16353,1.1636,1.16348,1.16358
2025-10-15 18:31:00+00:00,1.16358,1.16362,1.16358,1.1636
2025-10-15 18:32:00+00:00,1.16359,1.16365,1.16357,1.16364
2025-10-15 18:33:00+00:00,1.16364,1.1637,1.16346,1.16346
2025-10-15 18:34:00+00:00,1.16346,1.16347,1.16342,1.16343
2025-10-15 18:35:00+00:00,1.16344,1.16344,1.16333,1.16334
2025-10-15 18:36:00+00:00,1.16332,1.16335,1.16331,1.16333
2025-10-15 18:37:00+00:00,1.16334,1.16342,1.16334,1.16338
2025-10-15 18:38:00+00:00,1.16339,1.16342,1.16336,1.16338
2025-10-15 18:39:00+00:00,1.16336,1.1634,1.16336,1.16338
2025-10-15 18:40:00+00:00,1.16337,1.16346,1.16337,1.16339
2025-10-15 18:41:00+00:00,1.16338,1.16346,1.16334,1.16344
2025-10-15 18:42:00+00:00,1.16345,1.16346,1.16342,1.16344
2025-10-15 18:43:00+00:00,1.16344,1.16344,1.16337,1.16342
2025-10-15 18:44:00+00:00,1.16342,1.16349,1.16342,1.16344
2025-10-15 18:45:00+00:00,1.16344,1.16344,1.16336,1.16338
2025-10-15 18:46:00+00:00,1.16337,1.1634,1.16333,1.16338
2025-10-15 18:47:00+00:00,1.16338,1.16342,1.16335,1.16338
2025-10-15 18:48:00+00:00,1.16336,1.16336,1.16322,1.16323
2025-10-15 18:49:00+00:00,1.16322,1.16328,1.1632,1.16324
2025-10-15 18:50:00+00:00,1.16323,1.16329,1.16321,1.16322
2025-10-15 18:51:00+00:00,1.16323,1.16324,1.16321,1.16322
2025-10-15 18:52:00+00:00,1.16322,1.16324,1.16322,1.16324
2025-10-15 18:53:00+00:00,1.16323,1.16328,1.1632,1.16322
2025-10-15 18:54:00+00:00,1.16321,1.16322,1.16314,1.16314
2025-10-15 18:55:00+00:00,1.16314,1.16316,1.16305,1.16308
2025-10-15 18:56:00+00:00,1.16308,1.16314,1.16308,1.16312
2025-10-15 18:57:00+00:00,1.16314,1.16324,1.16314,1.16322
2025-10-15 18:58:00+00:00,1.16323,1.16324,1.16322,1.16324
2025-10-15 18:59:00+00:00,1.16325,1.16333,1.16325,1.16333
2025-10-15 19:00:00+00:00,1.16332,1.16348,1.1633,1.16348
2025-10-15 19:01:00+00:00,1.16348,1.1635,1.16342,1.16344
2025-10-15 19:02:00+00:00,1.16344,1.16354,1.16342,1.16354
2025-10-15 19:03:00+00:00,1.16354,1.16356,1.1635,1.1635
